County,FIPS code,Population,Food Insecurity Rate,Number,% below 130% poverty,% between 130% and %185 poverty,% above 185% poverty,,,,,,,,
Adair,29001,25547,0.182,4640,0.6,0.09,0.3,,,,,,,,
Andrew,29003,17347,0.109,1890,0.44,0.25,0.31,,,,,,,,
Atchison,29005,5380,0.129,700,0.46,0.23,0.31,,Notes: ,,,,,,
Audrain,29007,25868,0.149,3850,0.52,0.18,0.3,,Below 130%,"SNAP, WIC, free school meals, CSFP, TEFAP",,,,,
Barry,29009,35716,0.139,4960,0.72,0.17,0.11,,Between 130% - 185%,"WIC, reduced price school meals",,,County FIPS Code,County,District Court Code
Barton,29011,12075,0.16,1940,0.65,0.11,0.24,,Above 185%,Charitable Response,,001,1,Adair,2
Bates,29013,16513,0.143,2350,0.6,0.18,0.22,,,,,003,3,Andrew,5
Benton,29015,18825,0.146,2740,0.68,0.22,0.1,,Source: https://www.feedingamerica.org/sites/default/files/research/map-the-meal-gap/2016/overall/MO_AllCounties_CDs_MMG_2016.pdf,,,005,5,Atchison,4
Bollinger,29017,12282,0.153,1880,0.64,0.05,0.31,,,,,007,7,Audrain,12
Boone,29019,172773,0.162,28000,0.55,0.09,0.36,,,,,009,9,Barry,39
Buchanan,29021,89415,0.148,13220,0.57,0.11,0.32,,,,,011,11,Barton,28
Butler,29023,42887,0.172,7360,0.68,0.14,0.19,,,,,013,13,Bates,27
Caldwell,29025,9057,0.126,1140,0.52,0.18,0.3,,,,,015,15,Benton,30
Callaway,29027,44693,0.13,5830,0.43,0.14,0.43,,,,,017,17,Bollinger,32
Camden,29029,44152,0.141,6220,0.58,0.13,0.3,,,,,019,19,Boone,13
Cape Girardeau,29031,78089,0.154,12010,0.53,0.14,0.34,,,,,021,21,Buchanan,5
Carroll,29033,9009,0.147,1330,0.61,0.11,0.28,,,,,023,23,Butler,36
Carter,29035,6249,0.162,1010,0.64,0.17,0.19,,,,,025,25,Caldwell,43
